Day,Date,Time,DateAndTime,Entry,is_weekend,rain_class,rain_amount,rain_desc
Wednesday,1/12/2022,19:00,01.12.2022 19.00.00,953,0,1,-1,Trace Rain
Wednesday,1/12/2022,20:00,01.12.2022 20.00.00,675,0,1,-1,Trace Rain
Wednesday,1/12/2022,21:00,01.12.2022 21.00.00,412,0,1,-1,Trace Rain
Wednesday,1/12/2022,22:00,01.12.2022 22.00.00,34,0,1,-1,Trace Rain
Wednesday,1/12/2022,23:00,01.12.2022 23.00.00,0,0,1,-1,Trace Rain
Thursday,1/13/2022,4:00,01.13.2022 04.00.00,0,0,0,0,No Rain
Thursday,1/13/2022,5:00,01.13.2022 05.00.00,774,0,0,0,No Rain
Thursday,1/13/2022,6:00,01.13.2022 06.00.00,1283,0,0,0,No Rain
Thursday,1/13/2022,7:00,01.13.2022 07.00.00,1471,0,0,0,No Rain
Thursday,1/13/2022,8:00,01.13.2022 08.00.00,1292,0,0,0,No Rain
Thursday,1/13/2022,9:00,01.13.2022 09.00.00,1141,0,0,0,No Rain
Thursday,1/13/2022,10:00,01.13.2022 10.00.00,954,0,0,0,No Rain
Thursday,1/13/2022,11:00,01.13.2022 11.00.00,901,0,0,0,No Rain
Thursday,1/13/2022,12:00,01.13.2022 12.00.00,886,0,0,0,No Rain
Thursday,1/13/2022,13:00,01.13.2022 13.00.00,833,0,0,0,No Rain
Thursday,1/13/2022,14:00,01.13.2022 14.00.00,844,0,0,0,No Rain
Thursday,1/13/2022,15:00,01.13.2022 15.00.00,956,0,0,0,No Rain
Thursday,1/13/2022,16:00,01.13.2022 16.00.00,1172,0,0,0,No Rain
Thursday,1/13/2022,17:00,01.13.2022 17.00.00,1178,0,0,0,No Rain
Thursday,1/13/2022,18:00,01.13.2022 18.00.00,1027,0,0,0,No Rain
Thursday,1/13/2022,19:00,01.13.2022 19.00.00,895,0,0,0,No Rain
Thursday,1/13/2022,20:00,01.13.2022 20.00.00,692,0,0,0,No Rain
Thursday,1/13/2022,21:00,01.13.2022 21.00.00,440,0,0,0,No Rain
Thursday,1/13/2022,22:00,01.13.2022 22.00.00,44,0,0,0,No Rain
Thursday,1/13/2022,23:00,01.13.2022 23.00.00,0,0,0,0,No Rain
Friday,1/14/2022,4:00,01.14.2022 04.00.00,0,0,0,0,No Rain
Friday,1/14/2022,5:00,01.14.2022 05.00.00,720,0,0,0,No Rain
Friday,1/14/2022,6:00,01.14.2022 06.00.00,1261,0,0,0,No Rain
Friday,1/14/2022,7:00,01.14.2022 07.00.00,1519,0,0,0,No Rain
Friday,1/14/2022,8:00,01.14.2022 08.00.00,1286,0,0,0,No Rain
Friday,1/14/2022,9:00,01.14.2022 09.00.00,1260,0,0,0,No Rain
Friday,1/14/2022,10:00,01.14.2022 10.00.00,1061,0,0,0,No Rain
Friday,1/14/2022,11:00,01.14.2022 11.00.00,915,0,0,0,No Rain
Friday,1/14/2022,12:00,01.14.2022 12.00.00,999,0,0,0,No Rain
Friday,1/14/2022,13:00,01.14.2022 13.00.00,925,0,0,0,No Rain
Friday,1/14/2022,14:00,01.14.2022 14.00.00,979,0,0,0,No Rain
Friday,1/14/2022,15:00,01.14.2022 15.00.00,1047,0,0,0,No Rain
Friday,1/14/2022,16:00,01.14.2022 16.00.00,1218,0,0,0,No Rain
Friday,1/14/2022,17:00,01.14.2022 17.00.00,1260,0,0,0,No Rain
Friday,1/14/2022,18:00,01.14.2022 18.00.00,1071,0,0,0,No Rain
Friday,1/14/2022,19:00,01.14.2022 19.00.00,1006,0,0,0,No Rain
Friday,1/14/2022,20:00,01.14.2022 20.00.00,743,0,0,0,No Rain
Friday,1/14/2022,21:00,01.14.2022 21.00.00,444,0,0,0,No Rain
Friday,1/14/2022,22:00,01.14.2022 22.00.00,38,0,0,0,No Rain
Friday,1/14/2022,23:00,01.14.2022 23.00.00,0,0,0,0,No Rain
Saturday,1/15/2022,4:00,01.15.2022 04.00.00,0,1,0,0,No Rain
Saturday,1/15/2022,5:00,01.15.2022 05.00.00,634,1,0,0,No Rain
Saturday,1/15/2022,6:00,01.15.2022 06.00.00,886,1,0,0,No Rain
Saturday,1/15/2022,7:00,01.15.2022 07.00.00,1001,1,0,0,No Rain
Saturday,1/15/2022,8:00,01.15.2022 08.00.00,991,1,0,0,No Rain
Saturday,1/15/2022,9:00,01.15.2022 09.00.00,1010,1,0,0,No Rain
Saturday,1/15/2022,10:00,01.15.2022 10.00.00,836,1,0,0,No Rain
Saturday,1/15/2022,11:00,01.15.2022 11.00.00,809,1,0,0,No Rain
Saturday,1/15/2022,12:00,01.15.2022 12.00.00,881,1,0,0,No Rain
Saturday,1/15/2022,13:00,01.15.2022 13.00.00,957,1,0,0,No Rain
Saturday,1/15/2022,14:00,01.15.2022 14.00.00,890,1,0,0,No Rain
Saturday,1/15/2022,15:00,01.15.2022 15.00.00,1083,1,0,0,No Rain
Saturday,1/15/2022,16:00,01.15.2022 16.00.00,1239,1,0,0,No Rain
Saturday,1/15/2022,17:00,01.15.2022 17.00.00,1376,1,0,0,No Rain
Saturday,1/15/2022,18:00,01.15.2022 18.00.00,1215,1,0,0,No Rain
Saturday,1/15/2022,19:00,01.15.2022 19.00.00,1061,1,0,0,No Rain
Saturday,1/15/2022,20:00,01.15.2022 20.00.00,772,1,0,0,No Rain
Saturday,1/15/2022,21:00,01.15.2022 21.00.00,399,1,0,0,No Rain
Saturday,1/15/2022,22:00,01.15.2022 22.00.00,18,1,0,0,No Rain
Saturday,1/15/2022,23:00,01.15.2022 23.00.00,0,1,0,0,No Rain
Sunday,1/16/2022,4:00,01.16.2022 04.00.00,0,1,0,0,No Rain
Sunday,1/16/2022,5:00,01.16.2022 05.00.00,423,1,0,0,No Rain
Sunday,1/16/2022,6:00,01.16.2022 06.00.00,562,1,0,0,No Rain
Sunday,1/16/2022,7:00,01.16.2022 07.00.00,636,1,0,0,No Rain
Sunday,1/16/2022,8:00,01.16.2022 08.00.00,791,1,0,0,No Rain
Sunday,1/16/2022,9:00,01.16.2022 09.00.00,908,1,0,0,No Rain
Sunday,1/16/2022,10:00,01.16.2022 10.00.00,803,1,0,0,No Rain
Sunday,1/16/2022,11:00,01.16.2022 11.00.00,719,1,0,0,No Rain
Sunday,1/16/2022,12:00,01.16.2022 12.00.00,772,1,0,0,No Rain
Sunday,1/16/2022,13:00,01.16.2022 13.00.00,773,1,0,0,No Rain
Sunday,1/16/2022,14:00,01.16.2022 14.00.00,875,1,0,0,No Rain
Sunday,1/16/2022,15:00,01.16.2022 15.00.00,933,1,0,0,No Rain
Sunday,1/16/2022,16:00,01.16.2022 16.00.00,1025,1,0,0,No Rain
Sunday,1/16/2022,17:00,01.16.2022 17.00.00,1010,1,0,0,No Rain
Sunday,1/16/2022,18:00,01.16.2022 18.00.00,925,1,0,0,No Rain
Sunday,1/16/2022,19:00,01.16.2022 19.00.00,927,1,0,0,No Rain
Sunday,1/16/2022,20:00,01.16.2022 20.00.00,738,1,0,0,No Rain
Sunday,1/16/2022,21:00,01.16.2022 21.00.00,400,1,0,0,No Rain
Sunday,1/16/2022,22:00,01.16.2022 22.00.00,17,1,0,0,No Rain
Sunday,1/16/2022,23:00,01.16.2022 23.00.00,0,1,0,0,No Rain
Monday,1/17/2022,4:00,01.17.2022 04.00.00,0,0,0,0,No Rain
Monday,1/17/2022,5:00,01.17.2022 05.00.00,1230,0,0,0,No Rain
Monday,1/17/2022,6:00,01.17.2022 06.00.00,1543,0,0,0,No Rain
Monday,1/17/2022,7:00,01.17.2022 07.00.00,1552,0,0,0,No Rain
